film_id,"title","release_date",release_week,"runtime",budget,revenue,profit,animation,adventure,action,comedy,crime,drama,fantasy,family,history,horror,music,mystery,romance,science fiction,thriller,war,western,"genres",hit,num_bankable_actor
11141,"Laws of Attraction","2004-04-04",14,"90.0",28000000,30016165,-12991917.5000,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",0,0
11153,"National Lampoon's Vacation","1983-07-28",30,"98.0",15000000,61399552,15699776.0000,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",0,0
11158,"Honey I Blew Up the Kid","1992-07-16",28,"89.0",40000000,58662452,-10668774.0000,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",0,0
11159,"Secrets & Lies","1996-05-24",20,"142.",4500000,13417292,2208646.0000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",0,0
11165,"Tora! Tora! Tora!","1970-01-26",4,"144.",25485000,29548291,-10710854.5000,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"[{'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",0,0
11167,"Peeping Tom","1960-04-06",14,"101.",150000,83957,-108021.5000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",0,0
11169,"Spartan","2004-03-12",10,"102.",19250000,8112712,-15193644.0000,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",0,0
11170,"We Are Marshall","2006-12-12",50,"124.",65000000,43545364,-43227318.0000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}]",0,0
11172,"Music and Lyrics","2007-02-09",5,"96.0",40000000,145896422,32948211.0000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",0,0
11185,"See No Evil, Hear No Evil","1989-05-12",19,"103.",18000000,46908987,5454493.5000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",0,0
11186,"Child's Play 2","1990-11-09",44,"84.0",13000000,35763605,4881802.5000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",0,0
11187,"Child's Play 3","1991-08-30",34,"90.0",13000000,20560255,-2719872.5000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",0,0
11202,"Patton","1970-01-25",4,"172.",12000000,89800000,32900000.0000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",0,0
11206,"Wait Until Dark","1967-10-26",43,"108.",4000000,11000000,1500000.0000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",0,0
11208,"Wicker Park","2004-09-03",35,"114.",30000000,13001257,-23499371.5000,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",0,0
11209,"The Alamo","1960-10-23",43,"167.",12000000,7900000,-8050000.0000,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}]",0,0
11212,"Baby's Day Out","1994-07-01",26,"99.0",50000000,16671505,-41664247.5000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",0,0
11217,"Club Dread","2004-02-27",8,"104.",8500000,5001655,-5999172.5000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",0,0
11219,"The Trouble with Harry","1955-10-03",40,"99.0",1200000,7000000,2300000.0000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",0,0
11221,"Best Defense","1984-07-20",29,"94.0",18000000,19265302,-8367349.0000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",0,0
11224,"Cinderella","1950-03-04",9,"74.0",2900000,263591415,128895707.5000,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}]",1,0
11228,"Daylight","1996-12-06",48,"115.",80000000,159212469,-393765.5000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",0,1
11231,"The Next Karate Kid","1994-07-18",29,"107.",12000000,15826984,-4086508.0000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 12, 'name': 'Adventure'}]",0,0
11237,"Anacondas: The Hunt for the Blood Orchid","2004-08-26",34,"97.0",20000000,70992898,15496449.0000,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",0,0
